,총수익률(%),연환산수익률(%),연환산변동성(%),샤프비율,최대낙폭(%),카르마비율
claude,4.86,2.92,2.45,1.191,-0.64,4.568
openai,3.8,2.28,2.49,0.918,-0.7,3.278
